"CountSettlement","CountCity","CountRoad","SumWoodDiceWeight","SumBrickDiceWeight","SumPastureDiceWeight","SumStoneDiceWeight","SumGrainDiceWeight","CountPortWood","CountPortBrick","CountPortPasture","CountPortStone","CountPortGrain","CountHandWood","CountHandBrick","CountHandPasture","CountHandStone","CountHandGrain","CountDevCardsKnight","CountDevCardsMonopoly","CountDevCardsYearOfPlenty","CountDevCardsRoadBuilding","CountDevCardsVictoryPoint","CountVictoryPoint","WonGame"
2,0,4,0,0,11,1,6,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1
2,0,6,2,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2,0,7,2,5,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
2,1,9,0,6,10,5,10,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,1
1,1,7,6,0,0,9,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,1
2,0,8,4,3,5,0,6,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1
1,1,6,0,10,12,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1
1,1,6,10,0,0,1,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1
1,1,5,4,10,0,4,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
1,1,14,13,10,0,5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
2,0,3,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
2,0,4,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1
0,2,5,14,0,0,8,6,0,0,0,0,0,2,2,2,1,0,0,0,0,0,1,0,1
3,0,6,11,0,5,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1
0,2,5,0,0,8,8,0,0,0,0,0,0,4,4,0,0,0,1,1,0,0,0,0,1
2,0,4,0,5,4,5,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
0,2,4,0,12,10,10,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
2,0,6,5,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1
2,0,4,2,0,3,1,4,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,1
0,2,6,0,16,0,10,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
3,0,5,3,10,6,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1
2,0,6,1,5,4,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
3,0,6,8,0,3,7,11,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1
2,0,4,0,5,13,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
2,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1
1,1,6,2,10,14,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
1,1,4,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
1,1,11,5,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,0,5,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,0,11,1,5,4,5,0,0,0,0,0,0,2,2,2,0,0,1,0,0,1,0,0,1
3,0,5,2,2,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,0,4,0,0,4,3,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
0,2,13,8,4,0,16,10,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,1
0,2,3,0,0,0,14,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
2,0,2,7,0,2,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
3,0,8,0,6,4,0,0,1,0,0,0,0,3,3,1,0,0,0,0,0,0,1,0,1
1,1,4,2,0,0,4,18,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2,0,2,1,0,3,4,8,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,1
2,0,6,7,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
2,0,6,1,5,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,6,0,4,8,10,5,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1
