"CountSettlement","CountTotalSettlement","CountCity","CountRoad","SumWoodDiceWeight","SumBrickDiceWeight","SumPastureDiceWeight","SumStoneDiceWeight","SumGrainDiceWeight","CountPortWood","CountPortBrick","CountPortPasture","CountPortStone","CountPortGrain","CountHandWood","CountHandBrick","CountHandPasture","CountHandStone","CountHandGrain","CountTotalWood","CountTotalBrick","CountTotalPasture","CountTotalStone","CountTotalGrain","CountDevCardsKnight","CountDevCardsMonopoly","CountDevCardsYearOfPlenty","CountDevCardsRoadBuilding","CountDevCardsVictoryPoint","HasLargestArmy","HasLongestRoad","CountVictoryPoint","HasMostPoints","WonGame"
2,2,0,13,9,1,2,4,0,0,0,0,0,0,0,0,1,2,0,15,15,5,4,4,1,0,0,0,0,0,0,2,0,0
2,2,0,4,0,0,2,0,0,0,0,1,0,0,1,1,4,0,1,7,7,6,0,3,0,0,0,0,0,0,0,2,0,0
0,2,2,9,0,8,10,4,6,0,0,0,0,0,5,5,8,0,7,14,14,17,15,20,10,2,2,2,4,1,0,10,1,1
2,3,1,14,1,3,9,11,0,0,0,0,0,0,2,2,2,2,0,18,18,9,10,9,7,0,0,1,2,1,0,8,0,0
5,5,0,14,8,16,5,0,6,1,0,0,0,0,23,23,3,0,9,42,42,17,9,23,2,2,1,1,1,0,1,8,0,0
0,4,4,10,30,0,4,4,12,0,0,0,1,0,0,0,6,11,13,10,10,11,28,26,4,0,1,0,1,0,0,9,1,0
0,2,2,4,18,0,0,12,6,0,0,0,0,0,0,0,0,23,14,4,4,0,29,18,0,0,0,0,0,0,0,4,0,0
0,2,2,7,0,8,4,8,6,0,0,0,0,0,9,9,2,1,2,16,16,11,16,15,7,2,2,1,4,1,0,10,1,1
2,2,0,4,5,0,0,0,2,0,0,0,0,0,0,0,0,0,4,6,6,2,0,6,0,0,0,0,0,0,0,2,0,0
1,3,2,10,0,8,15,6,10,0,0,0,0,0,6,6,3,5,15,17,17,13,20,29,10,1,2,2,3,1,0,10,1,1
1,4,3,11,28,3,6,6,10,0,0,0,0,0,0,0,2,0,4,12,12,8,14,16,3,1,0,0,2,0,0,9,0,0
2,2,0,2,0,0,5,0,3,1,0,0,1,0,1,1,1,0,4,5,5,5,2,8,1,0,0,0,0,0,0,2,0,0
2,2,0,7,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1,9,9,5,2,5,1,0,0,0,0,0,0,2,0,0
2,2,0,3,0,0,5,0,3,0,0,0,1,0,0,0,3,0,3,5,5,7,2,7,1,0,0,0,0,0,0,2,0,0
5,5,0,14,8,5,18,2,3,0,0,0,0,0,3,3,2,0,1,22,22,16,9,15,9,2,2,2,3,1,0,10,1,1
5,5,0,14,9,12,7,2,3,0,0,1,0,0,9,9,5,1,3,28,28,14,5,12,1,0,0,1,0,0,0,5,0,0
